date,time,venue,rest days,result,gf/gp,ga/gp,net goals,opponent,shots for,shots against,shot diff,pp opp/gp,ts/gp,pp%,pk%,fow%,team,goalie,sv%
2024-10-17,20:00,Home,1,L,2,4,-2,Edmonton Oilers,27,36,-9,3,4,33.3,100.0,54.6,Nashville Predators,Juuse Saros,0.914
2024-10-17,20:00,Home,1,L,1,0,1,New York Islanders,30,34,-4,1,2,0,100.0,46.7,St. Louis Blues,Joel Hofer,1.0
2024-10-17,20:00,Away,1,W,4,2,2,Nashville Predators,36,27,9,4,3,0,66.7,45.5,Edmonton Oilers,Calvin Pickard,0.926
2024-10-17,19:00,Away,1,W,3,2,1,Florida Panthers,33,28,5,2,1,0,0.0,49.2,Vancouver Canucks,Kevin Lankinen,0.929
2024-10-17,19:00,Away,1,W,2,3,-1,Washington Capitals,24,26,-2,4,5,0,100.0,52.5,Dallas Stars,Casey DeSmith,0.885
2024-10-17,20:30,Away,1,W,2,4,-2,Chicago Blackhawks,22,27,-5,3,7,0,71.4,55.9,San Jose Sharks,Vitek Vanecek,0.852
2024-10-17,19:00,Home,1,L,6,4,2,Buffalo Sabres,25,24,1,3,2,33.3,100.0,49.1,Columbus Blue Jackets,Daniil Tarasov,0.833
2024-10-17,19:00,Away,1,L,3,4,-1,Tampa Bay Lightning,25,25,0,3,2,33.3,100.0,56.5,Vegas Golden Knights,Adin Hill,0.84
2024-10-17,22:00,Home,1,L,6,4,2,Philadelphia Flyers,29,25,4,5,4,20,75.0,45.6,Seattle Kraken,Philipp Grubauer,0.84
2024-10-17,19:00,Away,0,L,4,1,3,Montreal Canadiens,32,27,5,2,5,0,100.0,40.7,Los Angeles Kings,David Rittich,0.963
2024-10-18,21:00,Home,1,W,4,3,1,Anaheim Ducks,49,19,30,5,3,20,100.0,61.0,Colorado Avalanche,Alexandar Georgiev,0.842
2024-10-18,19:00,Home,1,L,1,4,-3,Carolina Hurricanes,26,38,-12,5,4,0,50.0,52.6,Pittsburgh Penguins,Joel Blomqvist,0.895
2024-10-18,19:00,Away,2,L,4,1,3,Pittsburgh Penguins,38,26,12,4,5,50,100.0,47.4,Carolina Hurricanes,Frederik Andersen,0.962
2024-10-18,20:00,Away,0,W,3,8,-5,Winnipeg Jets,22,36,-14,2,7,50,42.9,49.1,San Jose Sharks,Vitek Vanecek,0.833
2024-10-18,20:00,Away,0,W,3,8,-5,Winnipeg Jets,22,36,-14,2,7,50,42.9,49.1,San Jose Sharks,Mackenzie Blackwood,0.722
2024-10-18,20:00,Home,4,W,8,3,5,San Jose Sharks,36,22,14,7,2,57.1,50.0,50.9,Winnipeg Jets,Connor Hellebuyck,0.864
2024-10-18,21:00,Away,1,W,3,4,-1,Colorado Avalanche,19,49,-30,3,5,0,80.0,39.0,Anaheim Ducks,Lukas Dostal,0.918
2024-10-19,18:00,Home,1,W,4,3,1,Vegas Golden Knights,49,26,23,2,1,50,100.0,43.3,Florida Panthers,Sergei Bobrovsky,0.885
2024-10-19,19:00,Home,1,L,5,6,-1,Washington Capitals,31,37,-6,2,2,50,100.0,57.6,New Jersey Devils,Jacob Markstrom,0.838
2024-10-19,19:00,Home,1,W,3,3,0,Montreal Canadiens,36,24,12,6,1,16.7,0.0,52.7,New York Islanders,Semyon Varlamov,0.875
2024-10-19,19:00,Away,1,L,4,1,3,Toronto Maple Leafs,29,35,-6,2,3,0,100.0,47.1,New York Rangers,Igor Shesterkin,0.971
2024-10-19,19:00,Home,1,W,0,3,-3,Vancouver Canucks,26,32,-6,3,2,0,100.0,50.9,Philadelphia Flyers,Samuel Ersson,0.906
2024-10-19,21:00,Away,2,L,1,2,-1,Utah Hockey Club,22,32,-10,3,4,0,100.0,46.9,Boston Bruins,Jeremy Swayman,0.938
2024-10-19,20:00,Away,1,L,4,2,2,Chicago Blackhawks,22,37,-15,4,1,0,100.0,46.3,Buffalo Sabres,Ukko-Pekka Luukkonen,0.946
2024-10-19,19:00,Away,1,W,3,3,0,New York Islanders,24,36,-12,1,6,100,83.3,47.3,Montreal Canadiens,Cayden Primeau,0.917
2024-10-19,13:00,Home,1,L,5,4,1,Tampa Bay Lightning,28,29,-1,5,3,40,100.0,46.3,Ottawa Senators,Anton Forsberg,0.862
2024-10-19,19:00,Home,2,W,1,4,-3,New York Rangers,35,29,6,3,2,0,100.0,52.9,Toronto Maple Leafs,Anthony Stolarz,0.926
2024-10-19,19:00,Away,0,W,3,4,-1,St. Louis Blues,40,19,21,3,4,33.3,100.0,46.5,Carolina Hurricanes,Pyotr Kochetkov,0.789
2024-10-19,13:00,Away,1,L,4,5,-1,Ottawa Senators,29,28,1,3,5,0,60.0,53.7,Tampa Bay Lightning,Andrei Vasilevskiy,0.821
2024-10-19,19:00,Away,1,W,6,5,1,New Jersey Devils,37,31,6,2,2,0,50.0,42.4,Washington Capitals,Logan Thompson,0.839
2024-10-19,20:00,Home,1,W,2,4,-2,Buffalo Sabres,37,22,15,1,4,0,100.0,53.7,Chicago Blackhawks,Arvid Soderblom,0.857
2024-10-19,14:00,Home,1,L,2,5,-3,Detroit Red Wings,39,24,15,2,3,50,66.7,46.0,Nashville Predators,Juuse Saros,0.864
2024-10-19,19:00,Home,1,L,4,3,1,Carolina Hurricanes,19,40,-21,4,3,0,66.7,53.5,St. Louis Blues,Joel Hofer,0.925
